name,description,price,originalPrice,category,subcategory,brand,model,partNumber,stock,rating,featured,badge,leadTime,keywords,image,specs
Siemens SIMATIC S7-1200 PLC,"Compact programmable logic controller for small to medium automation tasks. Features integrated PROFINET interface, onboard I/O, and support for IEC 61131-3 programming languages. Ideal for machine control, process automation, and motion control applications.",485,560,Automation,PLCs,Siemens,6ES7214-1AG40-0XB0,6ES7214-1AG40-0XB0,28,4.9,true,Bestseller,2–3 days,plc; siemens; simatic; automation; profinet,/techedgemarket_ecommerce/products/PLC/SIE-S7-1200-1211C_large.webp,"CPU: CPU 1214C DC/DC/DC | Work Memory: 100 KB | Digital I/O: 14 DI / 10 DO | Analog I/O: 2 AI | Communication: PROFINET, RS485 | Supply Voltage: 24 VDC"
ABB ACS880 Variable Speed Drive 11kW,"Industrial all-compatible drive for demanding applications. Built-in safety functions (STO, SS1), adaptive programming, and direct torque control for precise motor management across heavy industries.",1240,,Drives & Motors,Variable Speed Drives,ABB,ACS880-01-025A-3,ACS880-01-025A-3,14,4.8,true,New,3–5 days,vfd; abb; drive; motor; 11kw,/techedgemarket_ecommerce/products/PLC/ABB-1.webp,"Power: 11 kW | Input Voltage: 380–480 V AC, 3-phase | Output Current: 25 A | Control Method: Direct Torque Control (DTC) | Protection: IP21 | Safety: STO (Safe Torque Off)"
Schneider Masterpact NW 800A MCCB,"Air circuit breaker for LV power distribution. Provides overload, short-circuit, and earth fault protection. Micrologic trip unit with advanced metering and communication via Modbus.",3280,3900,Switchgear,Circuit Breakers,Schneider Electric,NW08H1-800A-3P,NW08H1-800A-3P,6,4.9,true,Sale,7–10 days,mccb; schneider; switchgear; circuit breaker; 800a,/techedgemarket_ecommerce/products/PLC/schneider.webp,Rated Current: 800 A | Poles: 3P | Breaking Capacity: 66 kA @ 415V | Trip Unit: Micrologic 2.0 A | Communication: Modbus RTU | Standard: IEC 60947-2
Omron CJ2M CPU31 PLC Module,"High-performance modular PLC CPU with EtherNet/IP port. Suited for high-speed counting, motion control, and complex process logic. Scalable I/O architecture.",620,,Automation,PLCs,Omron,CJ2M-CPU31,CJ2M-CPU31,19,4.7,false,,3–5 days,plc; omron; cj2m; ethernet/ip; automation,/techedgemarket_ecommerce/products/PLC/sick.webp,"Program Capacity: 20 K steps | I/O Points: Up to 2560 | Built-in Ports: USB, EtherNet/IP | Execution Speed: 0.04 µs / instruction | Supply Voltage: 24 VDC"
Eaton xEnergy HVL Load-Break Switch 630A,HV load-break switch for medium voltage switchgear panels. Designed for reliable switching of HV lines up to 36 kV. Compact design for space-saving MV distribution boards.,4750,,Switchgear,Load Break Switches,Eaton,HVL/R-630A-36kV,HVL/R-630A-36kV,4,4.8,false,,14–21 days,switchgear; eaton; mv; load break; 630a,https://images.unsplash.com/photo-1565193566173-7a0ee3dbe261?w=600&q=80,"Rated Voltage: 36 kV | Rated Current: 630 A | Breaking Capacity: 630 A | Insulation Medium: SF6-free, Air | Standard: IEC 62271-103"
Sick S300 Safety Laser Scanner,"Compact safety laser scanner for machine guarding and AGV navigation. Protective field up to 3 m, warning field up to 50 m. OSSD outputs, PROFINET interface.",2100,2450,Safety Systems,Safety Scanners,SICK,S30A-6011DA,S30A-6011DA,9,4.9,true,Sale,5–7 days,safety; scanner; sick; laser; agv; machine guarding,https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=600&q=80,"Protective Field: Up to 3 m radius | Warning Field: Up to 50 m | Response Time: 40 ms | Interface: PROFINET IO, OSSD | Safety Category: Cat.3 PLd / SIL2 | Protection: IP65"
Fluke 435-II Power Quality Analyser,"Three-phase power quality and energy analyser. Measures power, harmonics, flicker, unbalance, and transients. 500 Hz bandwidth. Ideal for troubleshooting and energy audits.",3450,,Sensors & Instrumentation,Power Analysers,Fluke,435-II,4352979,5,4.9,false,,7–10 days,power quality; fluke; analyser; energy; harmonics,https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=600&q=80,"Phases: 3-phase + neutral | Bandwidth: 500 Hz (10th harmonic) | Voltage: Up to 1000 V AC | Current: With clamps: 6000 A | Memory: 8 MB internal | Standards: EN 50160, IEC 61000-4-30"
Mitsubishi MELSEC iQ-R Series PLC R08CPU,"High-speed modular PLC with nanosecond-level processing. Supports motion control, safety, C language, and multiple field networks. Ideal for automotive and semiconductor manufacturing.",1380,,Automation,PLCs,Mitsubishi,R08CPU,R08CPU,11,4.9,true,Premium,5–7 days,plc; mitsubishi; melsec; iq-r; high-speed,https://images.unsplash.com/photo-1518770660439-4636190af475?w=600&q=80,"Program Memory: 320 K steps | Scan Speed: 0.98 ns / instruction | I/O Points: 4096 max | Networks: CC-Link IE, PROFINET, EtherNet/IP | USB Port: USB 2.0"
ABB S804PV-S125 DC Circuit Breaker 125A,"DC circuit breaker for solar PV and battery storage systems. Suitable for 1000 V DC systems. UL489B listed. Two-pole, snap-on DIN rail mount.",310,370,Switchgear,DC Circuit Breakers,ABB,S804PV-S125,2CCS884001R0845,33,4.7,false,Sale,2–3 days,dc breaker; abb; solar; pv; 125a,https://images.unsplash.com/photo-1565193566173-7a0ee3dbe261?w=600&q=80,"Rated Current: 125 A | Voltage: 1000 V DC | Poles: 2 | Breaking Capacity: 10 kA | Mounting: DIN Rail 35 mm | Standard: IEC 60947-2, UL 489B"
"CX Series 4.3"" HMI in Build PLC","Compact HMI with integrated PLC functionality. Features 4.3"" TFT LCD display, RS-485 communication, 12/12 I/O points. Panel mount design ideal for machine interfaces and small automation systems.",13000,,HMI & PLC,HMI with PLC,Cautoni-Swastik,CX Series,CX Series,50,4.5,false,,2-3 days,hmi; plc; cautoni; swastik; 4.3 inch; panel mount; rs485,https://5.imimg.com/data5/SELLER/Default/2024/3/401562418/AJ/OD/FD/2349477/whatsapp-image-2024-02-28-at-2-40-08-pm-2-500x500.jpeg,Display Type: TFT LCD | Display Size: 4.3 inch | I/O Points: 12 DI / 12 DO | Communication: RS-485 | Output Type: Digital | Mounting: Panel Mount
"10"" HMI in Built PLC",Large 10-inch HMI with integrated PLC. High resolution 1024x768 touch screen display. Panel mount design suitable for complex automation interfaces and SCADA-like applications.,30010,,HMI & PLC,HMI with PLC,Cautoni-Swastik,10-HMI-PLC,10-HMI-PLC,50,4.5,true,New,4-5 days,hmi; plc; cautoni; swastik; 10 inch; touch screen; panel mount,https://5.imimg.com/data5/SELLER/Default/2024/3/401593210/JY/BU/GJ/2349477/10-hmi-in-built-plc-500x500.jpeg,Display Size: 10 inch | Resolution: 1024x768 Pixels | Control Type: Touch Screen | Mounting: Panel Mount
4.3 Inch PLC HMI Combo Unit,"Combined PLC and HMI unit with 4.3-inch capacitive touch screen. 65K display colors, RS485 port, 24V operation. Compact 164x129x43 mm design for space-constrained installations.",15000,,HMI & PLC,HMI with PLC,Cautoni-Swastik,PLC-HMI-4.3,PLC-HMI-4.3,50,4.5,false,,2-3 days,hmi; plc; combo; cautoni; swastik; 4.3 inch; capacitive touch,https://5.imimg.com/data5/SELLER/Default/2024/3/401562424/CO/RG/XN/2349477/whatsapp-image-2024-02-28-at-2-40-08-pm-500x500.jpeg,Display Size: 4.3 inch | Resolution: 800x480 Pixels | Touch Screen: Capacitive | Display Colors: 65K | Voltage: 24 VDC | Port Type: RS485 | Dimension: 164x129x43 mm | Mounting: Panel Mount
Single Dual Channel Data Logger,"Versatile 2/4/6/8 channel data logger with RTD/PT-100 input. Dual display shows process value and channel number. 4GB SD card logging with 1-999 min log rate. 0.5% accuracy, 0-400C range.",11875,,Data Loggers,Temperature Data Loggers,Swastik,PLC-960,PLC-960,50,4.5,false,,Immediate,data logger; swastik; temperature; pressure; humidity; usb; sd card,https://5.imimg.com/data5/SELLER/Default/2026/5/607209997/YO/DV/HX/2349477/single-dual-channel-data-logger-500x500.png,"Channels: 2/4/6/8 Channel | Input: RTD/PT-100-3W | Range: 0-400 C | Logging: 4 GB external SD card | Log Rate: 1-999 Min | Display: Dual Display | Accuracy: 0.5% | Size: 96x96 mm | Supply: 230 VAC +/-10%, 50 Hz | Connectivity: USB"
